word,similarword,meaning
Condescend,resist,Show that one feels superior; be patronizing.
turbulence,blister,"Violent or unsteady movement of air or water, or of some other fluid."
rave,corner,"Talk incoherently, as if one were delirious or mad."
ebullience,curb,The quality of being cheerful and full of energy; exuberance.
Strut,roll,A rod or bar forming part of a framework and designed to resist compression.
Muse,snow,"(in Greek and Roman mythology) each of nine goddesses, the daughters of Zeus and Mnemosyne, who preside over the arts and sciences."
Balm,touch,A fragrant cream or liquid used to heal or soothe the skin.
conundrum,mystification,A confusing and difficult problem or question.
drawl,extend,"Speak in a slow, lazy way with prolonged vowel sounds."
duplicity,cunning,Deceitfulness.
Martinet,stickler,A person who demands complete obedience; a strict disciplinarian.
lugubrious,mournful,Looking or sounding sad and dismal.
presentiment,fear,"An intuitive feeling about the future, especially one of foreboding."
indolence,idleness,Avoidance of activity or exertion; laziness.
consummate,total,Make (a marriage or relationship) complete by having sexual intercourse.
figurehead,front,"A carving, typically a bust or a full-length figure, set at the prow of an old-fashioned sailing ship."
rant,philippic,"Speak or shout at length in an angry, impassioned way."
braggart,braggadocio,A person who boasts about their achievements or possessions.
savor,zest,Taste (good food or drink) and enjoy it to the full.
ostracism,exile,Exclusion from a society or group.
talon,hook,"A claw, especially one belonging to a bird of prey."
intransigence,contumacy,Refusal to change one's views or to agree about something.
penury,need,The state of being very poor; extreme poverty.
curmudgeon,crab,"A bad-tempered person, especially an old one."
atonement,redress,The action of making amends for a wrong or injury.
plumb,sheer,Measure (the depth of a body of water)
jocular,jolly,Fond of or characterized by joking; humorous or playful.
animosity,malevolence,Strong hostility.
embezzle,thieve,Steal or misappropriate (money placed in one's trust or belonging to the organization for which one works)
clientele,trade,Clients collectively.
aberration,delusion,"A departure from what is normal, usual, or expected, typically an unwelcome one."
recuperate,rally,Recover from illness or exertion.
resuscitation,renewal,The action or process of reviving someone from unconsciousness or apparent death.
heresy,divergence,Belief or opinion contrary to orthodox religious (especially Christian) doctrine.
transgress,trespass,"Go beyond the limits of (what is morally, socially, or legally acceptable)"
nadir,base,The lowest or most unsuccessful point in a situation.
indigence,destitution,A state of extreme poverty; destitution.
stygian,pitch,Relating to the River Styx in Greek mythology.
Florid,baroque,Having a red or flushed complexion.
blatant,flagrant,(of bad behaviour) done openly and unashamedly.
centurion,badge,The commander of a century in the ancient Roman army.
imperative,burning,Of vital importance; crucial.
resilience,recoil,The capacity to recover quickly from difficulties; toughness.
covert,secret,Not openly acknowledged or displayed.
sanguine,positive,"Optimistic or positive, especially in an apparently bad or difficult situation."
suborn,procure,Bribe or otherwise induce (someone) to commit an unlawful act such as perjury.
Transitory,transient,Not permanent.
pivotal,crucial,Of crucial importance in relation to the development or success of something else.
inept,awkward,Having or showing no skill; clumsy.
squalid,fetid,"(of a place) extremely dirty and unpleasant, especially as a result of poverty or neglect."
irksome,tedious,Irritating; annoying.
blithe,jovial,Showing a casual and cheerful indifference considered to be callous or improper.
maudlin,romantic,Self-pityingly or tearfully sentimental.
poseur,imposter,A person who behaves affectedly in order to impress others.
recluse,monk,A person who lives a solitary life and tends to avoid other people.
myriad,gobs,A countless or extremely great number of people or things.
pyre,fuel,"A heap of combustible material, especially one for burning a corpse as part of a funeral ceremony."
plaque,patch,"An ornamental tablet, typically of metal, porcelain, or wood, that is fixed to a wall or other surface in commemoration of a person or event."
unscathed,untouched,"Without suffering any injury, damage, or harm."
irrevocable,permanent,"Not able to be changed, reversed, or recovered; final."
pious,devout,Devoutly religious.
coda,windup,"The concluding passage of a piece or movement, typically forming an addition to the basic structure."
rife,popular,(especially of something undesirable) of common occurrence; widespread.
ineffable,heavenly,Too great or extreme to be expressed or described in words.
Fawn,yearling,A young deer in its first year.
Impervious,imperviable,Not allowing fluid to pass through.
abhor,abominate,Regard with disgust and hatred.
perjury,deceitfulness,The offence of wilfully telling an untruth or making a misrepresentation under oath.
colander,sifter,A perforated bowl used to strain off liquid from food after washing or cooking.
raconteur,anecdotist,A person who tells anecdotes in a skilful and amusing way.
eddy,swirl,A circular movement of water causing a small whirlpool.
colloquial,conversational,(of language) used in ordinary or familiar conversation; not formal or literary.
hapless,unlucky,(especially of a person) unfortunate.
puerile,callow,Childishly silly and immature.
contiguous,adjoining,Sharing a common border; touching.
